Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,year,month
22,CA-2017-132914,01/03/2017,07/03/2017,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,Warwick,New Jersey,54942,East,FUR-BO-18196204,Furniture,Bookcases,O Sullivan Living Dimensions 2-Shelf Bookcases,2961.671,2017,3
23,CA-2015-192493,21/11/2015,23/11/2015,Same Day,IM-15070,Irene Maddox,Consumer,United States,Henderson,Kentucky,93507,South,OFF-ST-19255661,Office Supplies,Storage,SAFCO Boltless Steel Shelving,35.825,2015,11
24,CA-2015-127535,20/12/2015,23/12/2015,Second Class,RB-19465,Rick Bensley,Home Office,United States,West Jordan,Utah,15482,West,OFF-EN-16003042,Office Supplies,Envelopes,Poly String Tie Envelopes,2334.933,2015,12
25,US-2017-134970,14/10/2017,15/10/2017,Same Day,DB-13060,Dave Brooks,Consumer,United States,Salem,Oregon,13248,West,FUR-BO-14163555,Furniture,Bookcases,Atlantic Metals Mobile 3-Shelf Bookcases,2455.071,2017,10
26,CA-2018-152227,20/01/2018,21/01/2018,Same Day,JM-15265,Janet Molinari,Corporate,United States,Cedar Rapids,Iowa,39831,Central,FUR-CH-13240180,Furniture,Chairs,Global Ergonomic Managers Chair,3025.507,2018,1
27,CA-2017-145309,29/06/2017,01/07/2017,Same Day,BH-11710,Brosina Hoffman,Consumer,United States,Springfield,Virginia,86099,South,OFF-BI-17290770,Office Supplies,Binders,Avery Heavy-Duty EZD Binder,1099.243,2017,6
28,US-2015-192493,17/07/2015,22/07/2015,Second Class,IM-15070,Irene Maddox,Consumer,United States,Quincy,Illinois,80575,Central,TEC-AC-17235969,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,2325.503,2015,7
29,CA-2017-125144,16/11/2017,18/11/2017,First Class,KH-16690,Kristen Hastings,Corporate,United States,Lawrence,Massachusetts,52753,East,OFF-LA-12135534,Office Supplies,Labels,Avery 473,3291.392,2017,11
30,CA-2016-157954,11/11/2016,16/11/2016,First Class,BS-11755,Bruce Stewart,Consumer,United States,Arlington,Virginia,37549,South,OFF-EN-17411939,Office Supplies,Envelopes,Colored Envelopes,1790.087,2016,11
31,US-2016-103201,03/12/2016,10/12/2016,Standard Class,DS-13180,David Smith,Corporate,United States,Pittsburgh,Pennsylvania,98184,East,OFF-AR-12472189,Office Supplies,Art,BIC Brite Liner Highlighters,3443.808,2016,12
32,US-2015-155724,22/08/2015,23/08/2015,Same Day,DB-13120,David Bremer,Corporate,United States,Fremont,Nebraska,41979,Central,FUR-CH-11788238,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,2814.776,2015,8
33,CA-2018-120861,26/01/2018,29/01/2018,Second Class,GT-14755,Guy Thornton,Consumer,United States,Billings,Montana,68008,West,TEC-CO-17481188,Technology,Copiers,Canon Image Class D660 Copier,1662.411,2018,1
34,CA-2017-144020,07/05/2017,12/05/2017,First Class,AH-10210,Alan Hwang,Consumer,United States,Scottsdale,Arizona,20155,West,TEC-MA-14558623,Technology,Machines,Canon imageCLASS MF7460,1891.452,2017,5
35,US-2016-154496,18/03/2016,24/03/2016,Second Class,AS-10225,Alan Schoenberger,Corporate,United States,Denver,Colorado,80219,West,OFF-EN-17816912,Office Supplies,Envelopes,Security-Tint Envelopes,2915.453,2016,3
36,US-2018-163993,27/10/2018,04/11/2018,Standard Class,JS-15685,Jim Sink,Corporate,United States,Richmond,Kentucky,61116,South,OFF-SU-13700025,Office Supplies,Supplies,Martin-Yale Premier Letter Opener,1526.554,2018,10
37,CA-2015-173975,19/07/2015,24/07/2015,First Class,KH-16690,Kristen Hastings,Corporate,United States,Great Falls,Montana,91560,West,TEC-PH-19930312,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,295.648,2015,7
38,CA-2018-136471,11/03/2018,12/03/2018,Same Day,HP-14815,Harold Pawlan,Home Office,United States,Dover,Delaware,37742,East,OFF-EN-16360682,Office Supplies,Envelopes,Globe Weis Peel and Seel First Class Envelopes,2912.071,2018,3
39,US-2017-132411,11/02/2017,11/02/2017,Same Day,DW-13585,Dorothy Wardle,Corporate,United States,Henderson,Kentucky,95215,South,FUR-CH-10520596,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,73.289,2017,2
40,CA-2016-102757,02/05/2016,08/05/2016,Second Class,SC-20770,Stewart Carmichael,Corporate,United States,Jackson,Mississippi,70952,South,TEC-MA-12815034,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,3373.144,2016,5
41,CA-2015-108981,25/03/2015,27/03/2015,First Class,JH-15985,Joseph Holt,Consumer,United States,Waynesboro,Virginia,61990,South,TEC-AC-19933753,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,2196.094,2015,3
42,CA-2015-101658,23/12/2015,25/12/2015,First Class,HK-14890,Heather Kirkland,Corporate,United States,Florence,Kentucky,96706,South,OFF-PA-15724909,Office Supplies,Paper,Xerox 1920,2878.514,2015,12
43,CA-2015-163372,10/08/2015,15/08/2015,First Class,AD-10180,Alan Dominguez,Home Office,United States,West Jordan,Utah,78386,West,TEC-MA-19029043,Technology,Machines,Zebra GX420t Direct Thermal Printer,2890.42,2015,8
44,CA-2017-164789,15/06/2017,18/06/2017,Second Class,SG-20080,Sandra Glassco,Consumer,United States,Evansville,Indiana,84691,Central,TEC-CO-10481506,Technology,Copiers,Sharp AL-1530CS Digital Copier,638.076,2017,6
45,CA-2016-172768,30/06/2016,04/07/2016,First Class,SG-20080,Sandra Glassco,Consumer,United States,Oceanside,New York,35042,East,FUR-TA-18196976,Furniture,Tables,Bevis Boat-Shaped Conference Table,2417.751,2016,6
46,CA-2018-169588,18/08/2018,23/08/2018,Standard Class,JE-16165,Justin Ellison,Corporate,United States,West Jordan,Utah,50135,West,TEC-MA-19285735,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,3488.217,2018,8
47,US-2017-125105,30/06/2017,02/07/2017,Same Day,SP-20650,Stephanie Phelps,Corporate,United States,Newark,New Jersey,35242,East,OFF-PA-13106298,Office Supplies,Paper,Xerox 1920,1695.727,2017,6
48,CA-2017-107146,21/02/2017,26/02/2017,Second Class,AA-10375,Allen Armold,Consumer,United States,Cleveland,Ohio,11854,East,TEC-AC-10763626,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,2441.566,2017,2
49,US-2016-162616,22/11/2016,22/11/2016,Same Day,DV-13045,Darrin Van Huff,Corporate,United States,Baltimore,Maryland,67733,East,OFF-ST-14235884,Office Supplies,Storage,Fellowes Super Stor/Drawer,230.571,2016,11
50,CA-2018-168494,07/02/2018,13/02/2018,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Pittsburgh,Pennsylvania,25525,East,TEC-CO-13786401,Technology,Copiers,Canon Image Class D660 Copier,3179.948,2018,2
51,US-2017-120585,29/10/2017,31/10/2017,Same Day,HK-14890,Heather Kirkland,Corporate,United States,Jackson,Mississippi,37235,South,TEC-AC-11362099,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,1932.869,2017,10
52,CA-2016-154496,02/01/2016,05/01/2016,Same Day,AS-10225,Alan Schoenberger,Corporate,United States,Milwaukee,Wisconsin,53209,Central,OFF-LA-11194198,Office Supplies,Labels,Avery 480,3233.841,2016,1
53,CA-2016-198167,05/08/2016,11/08/2016,Standard Class,NZ-18565,Nick Zandusky,Home Office,United States,Tucson,Arizona,19359,West,FUR-TA-19983182,Furniture,Tables,Bush Advantage Collection Round Conference Table,3224.331,2016,8
54,US-2018-179129,05/03/2018,07/03/2018,Same Day,SC-20725,Steven Cartwright,Consumer,United States,Green Bay,Wisconsin,67377,Central,FUR-CH-15407658,Furniture,Chairs,Office Star Ergonomic Chair,321.461,2018,3
55,CA-2015-127760,11/12/2015,13/12/2015,First Class,AB-10060,Adam Bellavance,Home Office,United States,Billings,Montana,46458,West,FUR-FU-11530793,Furniture,Furnishings,Longer-Life Soft White Bulbs,1430.402,2015,12
56,CA-2017-111542,10/12/2017,16/12/2017,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Fremont,Nebraska,96846,Central,OFF-SU-17630712,Office Supplies,Supplies,Premier Automatic Letter Opener,1132.812,2017,12
57,US-2018-126680,21/09/2018,29/09/2018,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,Greensboro,North Carolina,57419,South,TEC-CO-10865901,Technology,Copiers,Hewlett Packard 610 Color Digital Copier/Printer,460.284,2018,9
58,CA-2017-145309,13/08/2017,13/08/2017,Same Day,BH-11710,Brosina Hoffman,Consumer,United States,Salem,Oregon,82199,West,FUR-FU-13769851,Furniture,Furnishings,Eldon Wave Desk Accessories,3195.429,2017,8
59,CA-2018-118958,02/03/2018,08/03/2018,Second Class,DB-13120,David Bremer,Corporate,United States,Lawrence,Massachusetts,73242,East,OFF-AR-19248693,Office Supplies,Art,Newell 330,3226.695,2018,3
60,CA-2016-170592,05/02/2016,10/02/2016,First Class,PS-18970,Paul Stevenson,Home Office,United States,Troy,New York,49132,East,TEC-CO-17491822,Technology,Copiers,Canon PC1080F Personal Copier,1164.875,2016,2
61,CA-2018-179129,22/08/2018,25/08/2018,First Class,SC-20725,Steven Cartwright,Consumer,United States,West Jordan,Utah,63841,West,FUR-BO-16395997,Furniture,Bookcases,Atlantic Metals Mobile 3-Shelf Bookcases,2323.584,2018,8
62,CA-2016-153736,10/09/2016,16/09/2016,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Lancaster,Pennsylvania,23069,East,TEC-CO-12418526,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,3394.909,2016,9
63,US-2015-170912,29/08/2015,02/09/2015,First Class,DK-13225,Dean Katz,Corporate,United States,Jackson,Michigan,53065,Central,TEC-CO-18186400,Technology,Copiers,Sharp AL-1530CS Digital Copier,241.336,2015,8
64,US-2017-149615,27/04/2017,05/05/2017,Standard Class,EB-13870,Emily Burns,Consumer,United States,Decatur,Alabama,49251,South,FUR-CH-10941524,Furniture,Chairs,Novimex Swivel Fabric Task Chair,1313.194,2017,4
65,US-2016-118758,05/05/2016,06/05/2016,Same Day,ON-18715,Odella Nelson,Corporate,United States,Edmonds,Washington,60140,West,TEC-AC-19783753,Technology,Accessories,Microsoft Arc Touch Mouse,2233.39,2016,5
66,CA-2018-159878,11/05/2018,19/05/2018,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Marysville,Washington,55293,West,TEC-MA-14195951,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,698.861,2018,5
67,CA-2018-174177,05/09/2018,11/09/2018,Standard Class,GZ-14470,Gary Zandusky,Consumer,United States,Lowell,Massachusetts,12875,East,TEC-CO-10135861,Technology,Copiers,Sharp AL-1530CS Digital Copier,2724.534,2018,9
68,CA-2015-101658,07/11/2015,09/11/2015,Same Day,HK-14890,Heather Kirkland,Corporate,United States,Las Vegas,Nevada,93442,West,FUR-BO-11630140,Furniture,Bookcases,O Sullivan 4-Shelf Bookcase in Odessa Pine,2262.899,2015,11
69,CA-2017-117322,14/08/2017,21/08/2017,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Vancouver,Washington,52823,West,TEC-CO-13368777,Technology,Copiers,Canon PC1080F Personal Copier,3067.859,2017,8
70,CA-2017-188647,29/09/2017,02/10/2017,First Class,KD-16270,Karen Daniels,Consumer,United States,Franklin,Wisconsin,25095,Central,OFF-PA-13785186,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper,3429.838,2017,9
71,CA-2017-183695,16/02/2017,16/02/2017,Same Day,JD-15895,Jonathan Doherty,Corporate,United States,Montgomery,Alabama,98188,South,TEC-MA-16392547,Technology,Machines,Zebra GX420t Direct Thermal Printer,380.995,2017,2
72,CA-2016-105943,29/08/2016,05/09/2016,Standard Class,JB-15925,Joni Blumstein,Consumer,United States,Marysville,Washington,49608,West,TEC-CO-12345069,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,1066.667,2016,8
73,CA-2018-154379,01/03/2018,07/03/2018,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Layton,Utah,58629,West,TEC-CO-12592464,Technology,Copiers,Canon Image Class D660 Copier,2918.258,2018,3
74,CA-2018-107936,24/05/2018,31/05/2018,Standard Class,KB-16600,Ken Brennan,Corporate,United States,Omaha,Nebraska,57537,Central,FUR-BO-16017548,Furniture,Bookcases,O Sullivan Living Dimensions 2-Shelf Bookcases,665.95,2018,5
75,CA-2015-108992,21/08/2015,27/08/2015,Standard Class,NZ-18565,Nick Zandusky,Home Office,United States,Lakeland,Florida,53713,South,FUR-TA-13442778,Furniture,Tables,Chromcraft Rectangular Conference Tables,1940.619,2015,8
76,CA-2016-101504,29/04/2016,02/05/2016,First Class,VW-21775,Victoria Wilson,Corporate,United States,Springfield,Virginia,27038,South,TEC-MA-11844258,Technology,Machines,Canon imageCLASS MF7460,92.179,2016,4
77,US-2015-197735,03/07/2015,08/07/2015,Second Class,SO-20335,Sean ODonnell,Consumer,United States,Phoenix,Arizona,85023,West,TEC-CO-11906718,Technology,Copiers,Canon Image Class D660 Copier,1570.067,2015,7
78,CA-2017-107972,20/09/2017,28/09/2017,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Riverside,California,96363,West,TEC-MA-10522621,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,2965.85,2017,9
79,US-2018-118958,18/12/2018,26/12/2018,Standard Class,DB-13120,David Bremer,Corporate,United States,Detroit,Michigan,48227,Central,TEC-AC-12117143,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,2216.502,2018,12
80,CA-2017-107972,15/07/2017,20/07/2017,First Class,CS-12400,Christopher Schild,Home Office,United States,Jackson,Michigan,24996,Central,TEC-AC-17575834,Technology,Accessories,Microsoft Arc Touch Mouse,1449.52,2017,7
81,US-2018-127938,24/07/2018,24/07/2018,Same Day,NK-18490,Neil Knudson,Home Office,United States,Urbandale,Iowa,43408,Central,OFF-ST-11126310,Office Supplies,Storage,SAFCO Boltless Steel Shelving,300.605,2018,7
82,US-2018-194510,19/02/2018,22/02/2018,First Class,LC-17140,Logan Currie,Consumer,United States,Gulfport,Mississippi,97819,South,FUR-FU-17095702,Furniture,Furnishings,Howard Miller 13.75 Diameter Brushed Chrome Round Wall Clock,1008.128,2018,2
83,US-2017-175248,30/06/2017,06/07/2017,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Indianapolis,Indiana,47201,Central,TEC-MA-14673599,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,1503.035,2017,6
84,CA-2015-186159,08/11/2015,10/11/2015,First Class,LH-16900,Lena Hernandez,Consumer,United States,Lowell,Massachusetts,56009,East,FUR-TA-19501291,Furniture,Tables,KI Conference Tables,498.278,2015,11
85,US-2015-106895,16/02/2015,22/02/2015,Second Class,CL-12565,Clay Ludtke,Consumer,United States,Des Moines,Iowa,58503,Central,OFF-EN-11425342,Office Supplies,Envelopes,Security-Tint Envelopes,2641.017,2015,2
86,CA-2015-145242,12/12/2015,19/12/2015,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Fremont,Nebraska,64287,Central,OFF-AR-11909540,Office Supplies,Art,Dixon Oriole Pencils,992.796,2015,12
87,CA-2018-137938,27/09/2018,29/09/2018,First Class,JE-15745,Joel Eaton,Consumer,United States,Chicago,Illinois,60610,Central,OFF-AR-14286905,Office Supplies,Art,BIC Brite Liner Highlighters,29.039,2018,9
88,CA-2018-154379,31/03/2018,06/04/2018,Second Class,FH-14365,Fred Hopkins,Corporate,United States,Las Vegas,Nevada,62044,West,TEC-PH-10314430,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,274.363,2018,3
89,CA-2017-190388,22/10/2017,25/10/2017,Same Day,AD-10180,Alan Dominguez,Home Office,United States,Milwaukee,Wisconsin,53209,Central,FUR-BO-17719145,Furniture,Bookcases,O Sullivan 4-Shelf Bookcase in Odessa Pine,310.278,2017,10
90,CA-2015-166910,05/05/2015,08/05/2015,Same Day,CC-12670,Craig Carreira,Consumer,United States,Columbia,Tennessee,54500,South,FUR-BO-11281433,Furniture,Bookcases,O Sullivan 4-Shelf Bookcase in Odessa Pine,1858.056,2015,5
91,CA-2016-182306,27/06/2016,30/06/2016,First Class,DB-13060,Dave Brooks,Consumer,United States,Decatur,Georgia,35856,South,FUR-TA-12972018,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,2641.051,2016,6
92,US-2018-168494,15/12/2018,19/12/2018,First Class,RA-19885,Ruben Ausman,Corporate,United States,Ann Arbor,Michigan,67961,Central,TEC-MA-19922377,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,1776.664,2018,12
93,CA-2017-172655,25/08/2017,25/08/2017,Same Day,PK-19075,Pete Kriz,Consumer,United States,Boston,Massachusetts,94497,East,FUR-FU-19736311,Furniture,Furnishings,Longer-Life Soft White Bulbs,2586.746,2017,8
94,CA-2015-166132,19/08/2015,24/08/2015,Second Class,JH-15910,Jonathan Howell,Consumer,United States,Oklahoma City,Oklahoma,18109,Central,OFF-PA-11414808,Office Supplies,Paper,Easy-staple paper,138.919,2015,8
95,US-2018-143213,13/08/2018,18/08/2018,Second Class,RB-19465,Rick Bensley,Home Office,United States,Dover,Delaware,54350,East,TEC-PH-11105817,Technology,Phones,Panasonic Kx-TS550,2374.971,2018,8
96,CA-2017-192908,10/05/2017,15/05/2017,Second Class,KB-16585,Ken Black,Corporate,United States,Henderson,Nevada,95990,West,TEC-CO-19983135,Technology,Copiers,Canon PC1080F Personal Copier,1084.917,2017,5
97,CA-2018-144791,26/11/2018,29/11/2018,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Columbia,Tennessee,12389,South,OFF-LA-13593556,Office Supplies,Labels,Avery 519,1702.976,2018,11
98,CA-2016-178282,11/03/2016,14/03/2016,Second Class,JE-16165,Justin Ellison,Corporate,United States,New Orleans,Louisiana,79013,South,FUR-BO-12198638,Furniture,Bookcases,O Sullivan Living Dimensions 2-Shelf Bookcases,569.541,2016,3
99,CA-2016-125430,12/08/2016,20/08/2016,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Billings,Montana,68841,West,FUR-TA-17868776,Furniture,Tables,Bush Advantage Collection Round Conference Table,3315.061,2016,8
100,CA-2018-148655,25/08/2018,30/08/2018,First Class,CS-12400,Christopher Schild,Home Office,United States,Saint Paul,Minnesota,89254,Central,FUR-BO-18062973,Furniture,Bookcases,Bush Somerset Collection Bookcase,360.859,2018,8
101,CA-2015-103495,26/05/2015,01/06/2015,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,Oklahoma City,Oklahoma,67340,Central,FUR-TA-15865064,Furniture,Tables,Bevis Boat-Shaped Conference Table,1388.796,2015,5
102,US-2017-140306,01/05/2017,01/05/2017,Same Day,RB-19465,Rick Bensley,Home Office,United States,San Diego,California,92105,West,TEC-MA-12308538,Technology,Machines,Canon imageCLASS MF7460,3211.052,2017,5
103,US-2018-155476,23/12/2018,29/12/2018,Second Class,PN-18775,Parhena Norris,Home Office,United States,Houston,Texas,77041,South,FUR-TA-18854536,Furniture,Tables,Chromcraft Rectangular Conference Tables,1009.779,2018,12
104,CA-2017-131711,04/03/2017,10/03/2017,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Detroit,Michigan,48227,Central,TEC-PH-19647695,Technology,Phones,GE 30524EE4,1020.869,2017,3
105,CA-2015-171313,11/11/2015,14/11/2015,First Class,LE-16810,Laurel Elliston,Consumer,United States,Cottage Grove,Minnesota,97584,Central,FUR-BO-18825812,Furniture,Bookcases,Bush Somerset Collection Bookcase,3459.184,2015,11
106,CA-2015-196068,19/07/2015,19/07/2015,Same Day,AH-10195,Alan Haines,Corporate,United States,Cedar Rapids,Iowa,12128,Central,OFF-PA-14045421,Office Supplies,Paper,Easy-staple paper,364.616,2015,7
107,CA-2017-108270,10/03/2017,17/03/2017,Standard Class,MB-17305,Maria Bertelson,Consumer,United States,Grove City,Ohio,99742,East,OFF-AP-12262450,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector,3302.731,2017,3
108,CA-2015-104799,31/05/2015,03/06/2015,Second Class,JM-15265,Janet Molinari,Corporate,United States,Richmond,Kentucky,77552,South,OFF-SU-14249899,Office Supplies,Supplies,Fiskars Softgrip Scissors,670.48,2015,5
109,CA-2017-190710,25/01/2017,29/01/2017,First Class,MA-17560,Matt Abelman,Home Office,United States,Dover,Delaware,67637,East,OFF-EN-18324908,Office Supplies,Envelopes,Staple envelope,3235.238,2017,1
110,CA-2017-158447,12/02/2017,12/02/2017,Same Day,AG-10270,Alejandro Grove,Consumer,United States,Mesa,Arizona,23447,West,FUR-BO-15142147,Furniture,Bookcases,Sauder Barrister Bookcases,1492.554,2017,2
111,CA-2018-147619,29/06/2018,29/06/2018,Same Day,TS-21610,Troy Staebel,Consumer,United States,Dover,Delaware,93816,East,FUR-CH-16815076,Furniture,Chairs,Global Ergonomic Managers Chair,2625.143,2018,6
112,CA-2016-104244,16/01/2016,22/01/2016,Second Class,AA-10480,Andrew Allen,Consumer,United States,Spokane,Washington,94562,West,OFF-EN-19516785,Office Supplies,Envelopes,Colored Envelopes,2377.359,2016,1
113,CA-2017-103396,10/07/2017,10/07/2017,Same Day,LE-16810,Laurel Elliston,Consumer,United States,Henderson,Nevada,51207,West,TEC-MA-11903351,Technology,Machines,Canon imageCLASS MF7460,1747.656,2017,7
114,CA-2018-117790,15/10/2018,22/10/2018,Standard Class,HK-14890,Heather Kirkland,Corporate,United States,Columbia,Maryland,90199,East,OFF-AP-12057514,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector,1583.245,2018,10
115,US-2018-166683,14/02/2018,18/02/2018,First Class,AD-10180,Alan Dominguez,Home Office,United States,New Orleans,Louisiana,48058,South,OFF-ST-16064832,Office Supplies,Storage,Safco Industrial Wire Shelving,3447.994,2018,2
116,CA-2016-125430,01/05/2016,01/05/2016,Same Day,ER-13855,Elpida Rittenbach,Corporate,United States,Columbia,Maryland,90209,East,FUR-CH-16680015,Furniture,Chairs,Novimex Swivel Fabric Task Chair,2516.606,2016,5
117,CA-2018-127938,29/07/2018,04/08/2018,Standard Class,NK-18490,Neil Knudson,Home Office,United States,Montgomery,Alabama,99143,South,TEC-MA-19249336,Technology,Machines,Canon imageCLASS MF7460,638.507,2018,7
118,CA-2016-137230,09/08/2016,14/08/2016,Standard Class,DR-12880,Dan Reichenbach,Corporate,United States,Tucson,Arizona,31229,West,OFF-AR-18705660,Office Supplies,Art,Sanford Liquid Accent Highlighters,878.617,2016,8
